title	first	last	first1	last1	first2	last2	publisher	date	url	archive-url
State of the Center Updated at Town Meeting	Denise	Adams					National Aeronautics and Space Administration	08/11/06	http://www.nasa.gov/centers/langley/news/researchernews/rn_townhallmeeting_081106.html
Strategic Selection: Presidential Nomination of Supreme Court Justices from Herbert Hoover through George W. Bush	Christine L.	Nemacheck					University of Virginia Press	05/21/08	https://books.google.com/?id=PhXsGgB_j6EC&pg=PA120&lpg=PA120&dq=party+affiliation+of+Antonin+Scalia&q=party%20affiliation%20of%20Antonin%20Scalia
Swimming at the 1968 Ciudad de México Summer Games: Men's 100 metres Freestyle							Sports Reference		https://www.sports-reference.com/olympics/summer/1968/SWI/mens-100-metres-freestyle.html
WWE (WWF) - FAQ							WrestleView		http://www.wrestleview.com/faq/?article=wwe
Preity Zinta supports prosecution in Bharat Shah case, says she received extortion threat							Press Trust of India	01/09/03	http://expressindia.indianexpress.com/news/fullstory.php?newsid=18272
Rare Replay lets you rewind certain games, has documentary clips	Matt	Leone						06/16/15	http://www.polygon.com/2015/6/16/8788267/rare-replay-rewind-documentary
Don't Say You Love Me	M2M						Amazon.com	10/03/15	https://www.amazon.com/Dont-Say-You-Love-Me/dp/B00004T8XB/ref=sr_1_4?s=music&ie=UTF8&qid=1443423762&sr=1-4&
Atlantis: The Lost Empire	Roger	Ebert						06/15/01	http://rogerebert.suntimes.com/apps/pbcs.dll/article?AID=/20010615/REVIEWS/106150301/1023
The Thing	Roger	Ebert						01/01/82	https://www.rogerebert.com/reviews/the-thing-1982
Central Park									http://www.newyork.ch/central-park/
Muav Limestone							USGS		http://3dparks.wr.usgs.gov/coloradoplateau/lexicon/muav.htm
The X-Files, Season 6								09/22/99	https://itunes.apple.com/gb/tv-season/the-x-files-season-6/id283986520
Battle Record of the USS New Jersey							USS New Jersey Veterans, Inc.		http://www.ussnewjersey.com/hist_awd.htm
Antelopes: Global Survey and Regional Action Plans, Part 3	Rod	East					IUCN		https://books.google.com/books?id=n22ER5vZqTkC&pg=PA170
Circuit-breaker at heart of LOT 767 gear-up landing probe	David	Kaminski-Morrow						12/05/11	http://www.flightglobal.com/news/articles/circuit-breaker-at-heart-of-lot-767-gear-up-landing-probe-365584/
Review: 'Runner Runner' Runs Hot, Cold with Ben Affleck, Justin Timberlake	Betsy	Sharkey					Los Angeles Times Film Critic	10/03/13	http://www.latimes.com/entertainment/movies/moviesnow/la-et-mn-runner-runner-20131004-story.html
Queen distributes Maundy coins							BBC News	04/05/07	http://cdnedge.bbc.co.uk/1/hi/england/manchester/6529795.stm
Heroes of Mana	Justin	Leeper					GameSpy	04/10/07	http://uk.ds.gamespy.com/nintendo-ds/seiken-densetsu-heroes-of-mana/779564p1.html
Alton Towers sold in £622m deal								07/17/07	http://news.bbc.co.uk/2/hi/business/6902797.stm
Sir Tom gets own campus!								08/27/02	http://www.sunderlandecho.com/news/Sir-Tom-gets-own-campus.598289.jp
Kenneth Seymour Robbins								The Sackett Family Association	http://sackettfamily.info/g128/p128863.htm
Director David Robert Mitchell Reveals The 5 Biggest Influences On ‘It Follows’	Drew	Taylor					IndieWire	03/12/15	http://www.indiewire.com/2015/03/director-david-robert-mitchell-reveals-the-5-biggest-influences-on-it-follows-266346/
LADEE	Jessica	Culler							http://www.nasa.gov/mission_pages/ladee/main/#.VXCc0vBdiM8
